exp #,mouse name,treatment,tumor load,%MDSC (GR1) blood,% G-MDSC blood (total),% G-MDSC blood (gated on CD11b),% M-MDSC blood (total),% M-MDSC blood (gated on CD11b),% T cell blood (total),MFI zeta blood,spleen weight,cell # spleen,%MDSC (GR1) spleen,% G-MDSC spleen (total),% G-MDSC spleen (gated on CD11b),% M-MDSC spleen (total),% M-MDSC spleen (gated on CD11b),% T cell spleen(total),MFI zeta spleen,cell # BM,%MDSC (GR1) bm,% G-MDSC BM (total),% G-MDSC BM (gated on CD11b),% M-MDSC BM (total),% M-MDSC BM (gated on CD11b),% T cell BM (total),MFI zeta BM,%MDSC (GR1) colon,% G-MDSC colon  (total),% G-MDSC colon  (gated on CD11b),% M-MDSC colon (total),% M-MDSC colon (gated on CD11b),% T cell colon  (total),MFI zeta colon,FITC DEX
exp14,3.2,CRC,++++,40.58,24.72,69.06,2.27,6.34,27.85,160,0.28,12.5,13.53,10.75,52.81,2.96,13.18,13.33,198.8,20.7,78.66,57.11,72.66,11.35,14.44,1.3,65.37,,,,,,,,26706
exp14,3.3,CRC,++++,30.99,18.16,60.29,3.47,11.51,34.85,186.43,0.12,79,8.8,5.31,45.36,1.44,10.5,24.96,178,17.3,68.13,47.23,67.72,12.97,18.59,1.92,81.47,,,,,,,,1555
exp14,3.4,CRC,+++,55.35,40.7,80.62,2.14,4.23,22.12,136.36,0.28,,,,,,,,,,,,,,,,,,44.61,73.76,4.96,7.95,28.83,12012.71,
exp14,3.5,CRC,+,22.36,13.68,66.9,2.19,10.72,36.88,116.7,0.17,,,,,,,,,,,,,,,,,,19.68,66.93,3.29,7.23,41.73,13858.77,
exp14,3.6,CRC,+++,17.51,14.23,74.89,1.08,5.69,40.77,188.42,0.18,,,,,,,,,,,,,,,,,,29.06,73.5,4.18,7.28,33.74,13608.87,
exp14,4.1,CRC,++,45.61,33.12,73.39,4.46,9.88,24.42,118.62,0.3,176,14.23,9.62,51.91,2.7,13.12,12.05,160.71,11,74.72,52.89,71.12,11.77,15.82,1.14,79.1,,,,,,,,19365
exp14,4.3,CRC,+++,63.56,47.86,76.25,5.07,8.08,14.97,108.62,0.2,,,,,,,,,,,,,,,,,,49.89,73.53,7.34,9.94,21.37,10716.69,
exp14,4.4,CRC,+,20.05,7.26,32.82,0.91,4.11,28.37,161.81,0.2,96,8.87,5.19,38.56,1.54,10.04,16.48,160.89,13.2,78.76,53.41,69.94,14.48,18.96,1.02,67.25,,,,,,,,5914
exp14,4.5,CRC,++++,15.57,11.05,69.14,1.36,8.5,39.63,164.27,0.15,115,10.41,7.06,48.29,1.76,11.06,19.47,169.08,14.1,76.56,52.96,70.34,13.33,17.71,1.46,71.58,,,,,,,,11174
exp14,5.1,CRC ABX,+,11,1.98,42.55,0.3,6.38,27.88,161.55,0.16,76,3.53,3,29.56,0.55,5.15,20.38,152.92,10.5,46.47,33.06,58.13,8.95,15.73,2.46,106.25,,,,,,,,2459
exp14,5.2,CRC ABX,+,4.83,2.17,46.06,0.27,5.73,41.6,161.65,0.11,73,2.75,2.27,33.18,0.35,4.89,23.43,186.42,7,46.66,34.27,66.23,8.46,16.36,2.62,89.72,,,,,,,,2311
exp14,5.3,CRC ABX,+,5.81,2.64,45.94,0.6,10.44,28.15,179.86,0.13,53,3.33,2.33,28.99,0.59,6.96,23.64,199.88,9.1,42.68,33.4,68.44,7.38,15.12,2.6,88.16,,,,,,,,2593
exp14,5.4,CRC ABX,++,11.46,3.69,38.33,0.34,3.48,37.2,115.59,0.17,,,,,,,,,,,,,,,,,,14.05,66.1,2.56,6.24,49.61,17216.19,
exp14,5.5,CRC ABX,,6.97,2.58,36.39,0.43,6.11,35.07,158.72,0.09,,,,,,,,,,,,,,,,,,3.41,43.77,1.44,5.57,77.59,14995.95,
exp14,5.6,CRC ABX,,15.22,4.88,48.81,0.34,3.43,31.64,102.3,0.09,,,,,,,,,,,,,,,,,,7,47.66,2.09,6.34,59.9,19568.94,
exp14,6.1,CRC ABX,+,9.44,4.12,48.44,0.73,8.6,29.62,131.83,0.12,75,2.68,2.34,35.48,0.45,6.44,,149.42,8.9,37.25,27.58,68.79,6.69,16.7,3.4,114.8,,,,,,,,3860
exp14,6.2,CRC ABX,+,7.74,34.02,64.93,3.58,6.83,34.14,119.25,0.17,80,2.65,2.13,30.4,0.55,7.6,33.2,262.57,8.5,51.47,39.13,69.09,9.26,16.35,2.63,82.96,,,,,,,,2526
exp14,6.4,CRC ABX,+,8.5,3.99,42.81,0.72,7.67,34.17,126.13,0.15,122,2.39,1.53,23.11,0.3,4.4,24.19,250.43,4.3,48.79,37.96,70.73,8.33,15.51,2.73,94.09,,,,,,,,4087
exp14,6.5,CRC ABX,+,9.42,7.54,41.54,2.11,11.63,34.05,200.49,0.18,,,,,,,,,,,,,,,,,,12.27,64.84,2.49,5.47,53.83,10407.01,
exp14,6.6,CRC ABX,+,13.57,6.73,50.69,0.43,3.24,25.92,137.87,0.44,,,,,,,,,,,,,,,,,,8.17,58.12,2.18,8.5,62.54,10721.77,
exp16,,CRC,,,14.51,43.77,13.87,24.78,16.65,204.8,,,,14.89,46.33,13.91,24.11,17.89,136,,,48.23,63.54,21.85,19.27,1.28,34.2,,10.73,18.18,33.8,42.58,,,
exp16,,CRC,,,12.57,41.2,12.24,20.07,17.39,182.4,,,,15.41,55.72,10.62,18,20.45,165,,,52.09,70.44,18.58,16.64,1.77,33.1,,5.96,9.38,31.85,47.85,,,
exp16,,CRC,,,31.8,57.18,14.13,16.44,10.73,143.7,,,,21.21,54.62,13.06,19.32,14.16,77,,,49.1,68.62,16.66,15.18,1.11,29.1,,,,,,,,
exp16,,CRC,,,11.05,48.64,7.74,17.22,17.74,244.8,,,,18.05,56.97,11.67,17.81,20.13,172.4,,,45.32,66.41,18.87,17.3,1.07,30.3,,,,,,,,
exp16,,ABX,,,5.02,22.85,13.75,24.56,24.83,352.4,,,,4.05,38.1,8.85,16.82,34.62,364.3,,,47.73,70.22,19.08,17.06,2.62,50.5,,3.8,52.71,4.71,4.38,,,
exp16,,ABX,,,2.02,42.64,3.09,14.8,24.29,479,,,,2.96,35.97,7.06,12.21,31.34,442.1,,,40.61,65.87,17.09,18.21,3.01,52.8,,0.58,33.89,1.01,9.43,,,
exp16,,ABX,,,1.46,28.66,2.9,15.78,33.07,371.8,,,,4.34,36.22,7.91,13.78,33.49,366.6,,,40.73,58.97,24.79,23.29,3.26,53.8,,,,,,,,
exp16,,ABX,,,0.22,42.27,0.26,10.31,24.95,460.8,,,,3.48,33.69,8.22,14.1,32.01,403.2,,,41.76,64.56,19.26,18.43,1.85,34.5,,,,,,,,
