bacteria-1,bacteria-2,state-1,rho score-1,state-2,rho score-2,difference
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,2_3_SALIVA_Control,-0.7896103896103898,1_2_STOOL_Control,0.8924423336411307,1.6820527232515206
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,2_3_SALIVA_Control,-0.7896103896103898,2_3_STOOL_Control,0.8694138660056863,1.659024255616076
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,2_3_SALIVA_Control,-0.7896103896103898,2_3_STOOL_GDM,0.9403940886699507,1.7300044782803403
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae,2_3_SALIVA_Control,-0.7764069264069267,1_2_STOOL_Control,0.8924423336411307,1.6688492600480573
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae,2_3_SALIVA_Control,-0.7764069264069267,2_3_STOOL_GDM,0.9403940886699507,1.7168010150768773
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae,1_2_SALIVA_Control,-0.6612227342549922,1_2_STOOL_Control,0.9410185302095201,1.6022412644645123
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],1_2_SALIVA_Control,-0.6609646697388633,1_2_STOOL_Control,0.9410185302095201,1.6019831999483833
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae,1_2_SALIVA_GDM,1.0,2_3_STOOL_Control,-0.4869869504993803,1.4869869504993802
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae,2_3_SALIVA_GDM,1.0,2_3_STOOL_Control,-0.4869869504993803,1.4869869504993802
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,2_3_SALIVA_Control,-0.7896103896103898,2_3_STOOL_GDM,0.9403940886699507,1.7300044782803403
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae,1_2_SALIVA_GDM,1.0,2_3_STOOL_Control,-0.4869869504993803,1.4869869504993802
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae,2_3_SALIVA_GDM,1.0,2_3_STOOL_Control,-0.4869869504993803,1.4869869504993802
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],1_2_SALIVA_Control,-0.6609646697388633,1_2_STOOL_Control,0.9410185302095201,1.6019831999483833
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],1_2_SALIVA_Control,-0.6609646697388633,2_3_STOOL_GDM,0.9999999999999998,1.660964669738863
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae,1_2_SALIVA_Control,-0.6574070660522273,2_3_STOOL_GDM,0.9999999999999998,1.657407066052227
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae,1_2_SALIVA_Control,-0.6609646697388633,1_2_STOOL_Control,0.9410185302095201,1.6019831999483833
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae,1_2_SALIVA_Control,-0.6609646697388633,2_3_STOOL_GDM,0.9999999999999998,1.660964669738863
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae,1_2_SALIVA_GDM,-0.8348813209494325,2_3_STOOL_GDM,0.9999999999999998,1.8348813209494321
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria,2_3_SALIVA_Control,-0.7035353535353538,2_3_STOOL_GDM,0.9999999999999998,1.7035353535353535
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__M2PT2-76; f__,1_2_SALIVA_Control,-0.6609646697388633,1_2_STOOL_Control,0.9410185302095201,1.6019831999483833
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__M2PT2-76; f__,1_2_SALIVA_Control,-0.6609646697388633,2_3_STOOL_GDM,0.9999999999999998,1.660964669738863
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae,1_2_SALIVA_Control,-0.6609646697388633,1_2_STOOL_Control,0.9410185302095201,1.6019831999483833
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae],k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae,1_2_SALIVA_Control,-0.6609646697388633,2_3_STOOL_GDM,0.9999999999999998,1.660964669738863
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae,k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__,1_2_SALIVA_Control,-0.6331305683563747,2_3_STOOL_GDM,0.9999999999999998,1.6331305683563744
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae,2_3_SALIVA_Control,-0.7896103896103898,1_2_STOOL_Control,0.8924423336411307,1.6820527232515206
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae,2_3_SALIVA_Control,-0.7896103896103898,2_3_STOOL_Control,0.8694138660056863,1.659024255616076
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae,2_3_SALIVA_Control,-0.7896103896103898,2_3_STOOL_GDM,0.9403940886699507,1.7300044782803403
