,0
"Lr=0.004,latent_size=70,klb_coefficient=0.7",0.02389376
"Lr=0.004,latent_size=70,klb_coefficient=0.8",0.023813628
"Lr=0.004,latent_size=70,klb_coefficient=0.9",0.02398012
"Lr=0.004,latent_size=70,klb_coefficient=1.0",0.023702163
"Lr=0.004,latent_size=80,klb_coefficient=0.5",0.02402982
"Lr=0.004,latent_size=80,klb_coefficient=0.6",0.023966623
"Lr=0.004,latent_size=80,klb_coefficient=0.7",0.023993827
"Lr=0.004,latent_size=80,klb_coefficient=0.8",0.02389778
"Lr=0.004,latent_size=80,klb_coefficient=0.9",0.024064789
"Lr=0.004,latent_size=80,klb_coefficient=1.0",0.024039993
"Lr=0.004,latent_size=90,klb_coefficient=0.5",0.024035
"Lr=0.004,latent_size=90,klb_coefficient=0.6",0.024106614
"Lr=0.004,latent_size=90,klb_coefficient=0.7",0.024052829
"Lr=0.004,latent_size=90,klb_coefficient=0.8",0.024203941
"Lr=0.004,latent_size=90,klb_coefficient=0.9",0.024165882
"Lr=0.004,latent_size=90,klb_coefficient=1.0",0.02420069
"Lr=0.004,latent_size=100,klb_coefficient=0.5",0.02407412
"Lr=0.004,latent_size=100,klb_coefficient=0.6",0.024411192
"Lr=0.004,latent_size=100,klb_coefficient=0.7",0.024185948
"Lr=0.004,latent_size=100,klb_coefficient=0.8",0.024446303
"Lr=0.004,latent_size=100,klb_coefficient=0.9",0.024239652
"Lr=0.004,latent_size=100,klb_coefficient=1.0",0.024190394
"Lr=0.004,latent_size=110,klb_coefficient=0.5",0.024414504
"Lr=0.004,latent_size=110,klb_coefficient=0.6",0.024332926
"Lr=0.004,latent_size=110,klb_coefficient=0.7",0.02431923
"Lr=0.004,latent_size=110,klb_coefficient=0.8",0.02424597
"Lr=0.004,latent_size=110,klb_coefficient=0.9",0.024277149
"Lr=0.004,latent_size=110,klb_coefficient=1.0",0.024345798
"Lr=0.004,latent_size=120,klb_coefficient=0.5",0.02443229
"Lr=0.004,latent_size=120,klb_coefficient=0.6",0.024520636
"Lr=0.004,latent_size=120,klb_coefficient=0.7",0.024492111
"Lr=0.004,latent_size=120,klb_coefficient=0.8",0.02430274
"Lr=0.004,latent_size=120,klb_coefficient=0.9",0.024568852
"Lr=0.004,latent_size=120,klb_coefficient=1.0",0.024533551
"Lr=0.004,latent_size=130,klb_coefficient=0.5",0.024443332
"Lr=0.004,latent_size=130,klb_coefficient=0.6",0.02462415
"Lr=0.004,latent_size=130,klb_coefficient=0.7",0.024410801
"Lr=0.004,latent_size=130,klb_coefficient=0.8",0.02440019
"Lr=0.004,latent_size=130,klb_coefficient=0.9",0.02449817
"Lr=0.004,latent_size=130,klb_coefficient=1.0",0.02482919
"Lr=0.004,latent_size=140,klb_coefficient=0.5",0.024485113
"Lr=0.004,latent_size=140,klb_coefficient=0.6",0.025055524
"Lr=0.004,latent_size=140,klb_coefficient=0.7",0.024747308
"Lr=0.004,latent_size=140,klb_coefficient=0.8",0.02474151
"Lr=0.004,latent_size=140,klb_coefficient=0.9",0.024528062
"Lr=0.004,latent_size=140,klb_coefficient=1.0",0.024653902
"Lr=0.004,latent_size=150,klb_coefficient=0.5",0.024575794
"Lr=0.004,latent_size=150,klb_coefficient=0.6",0.024530673
"Lr=0.004,latent_size=150,klb_coefficient=0.7",0.024689045
"Lr=0.004,latent_size=150,klb_coefficient=0.8",0.024768326
"Lr=0.004,latent_size=150,klb_coefficient=0.9",0.02454254
"Lr=0.004,latent_size=150,klb_coefficient=1.0",0.024843056
"Lr=0.005,latent_size=10,klb_coefficient=0.5",0.023398822
"Lr=0.005,latent_size=10,klb_coefficient=0.6",0.023419399
"Lr=0.005,latent_size=10,klb_coefficient=0.7",0.023414513
"Lr=0.005,latent_size=10,klb_coefficient=0.8",0.023430541
"Lr=0.005,latent_size=10,klb_coefficient=0.9",0.02341833
"Lr=0.005,latent_size=10,klb_coefficient=1.0",0.023390315
"Lr=0.005,latent_size=20,klb_coefficient=0.5",0.023486182
"Lr=0.005,latent_size=20,klb_coefficient=0.6",0.023610776
"Lr=0.005,latent_size=20,klb_coefficient=0.7",0.023509935
"Lr=0.005,latent_size=20,klb_coefficient=0.8",0.023696715
"Lr=0.005,latent_size=20,klb_coefficient=0.9",0.023606453
"Lr=0.005,latent_size=20,klb_coefficient=1.0",0.023467366
"Lr=0.005,latent_size=30,klb_coefficient=0.5",0.023450384
"Lr=0.005,latent_size=30,klb_coefficient=0.6",0.023495259
"Lr=0.005,latent_size=30,klb_coefficient=0.7",0.023594782
"Lr=0.005,latent_size=30,klb_coefficient=0.8",0.023633903
"Lr=0.005,latent_size=30,klb_coefficient=0.9",0.023701051
"Lr=0.005,latent_size=30,klb_coefficient=1.0",0.023644993
"Lr=0.005,latent_size=40,klb_coefficient=0.5",0.023816848
"Lr=0.005,latent_size=40,klb_coefficient=0.6",0.023633208
"Lr=0.005,latent_size=40,klb_coefficient=0.7",0.023712939
"Lr=0.005,latent_size=40,klb_coefficient=0.8",0.023754453
"Lr=0.005,latent_size=40,klb_coefficient=0.9",0.023824407
"Lr=0.005,latent_size=40,klb_coefficient=1.0",0.02369253
"Lr=0.005,latent_size=50,klb_coefficient=0.5",0.023862522
"Lr=0.005,latent_size=50,klb_coefficient=0.6",0.023848435
"Lr=0.005,latent_size=50,klb_coefficient=0.7",0.0238135
"Lr=0.005,latent_size=50,klb_coefficient=0.8",0.023733445
"Lr=0.005,latent_size=50,klb_coefficient=0.9",0.023812298
"Lr=0.005,latent_size=50,klb_coefficient=1.0",0.023847599
"Lr=0.005,latent_size=60,klb_coefficient=0.5",0.024186946
"Lr=0.005,latent_size=60,klb_coefficient=0.6",0.024057552
"Lr=0.005,latent_size=60,klb_coefficient=0.7",0.023963746
"Lr=0.005,latent_size=60,klb_coefficient=0.8",0.023952315
"Lr=0.005,latent_size=60,klb_coefficient=0.9",0.02408796
"Lr=0.005,latent_size=60,klb_coefficient=1.0",0.024038348
"Lr=0.005,latent_size=70,klb_coefficient=0.5",0.024079246
"Lr=0.005,latent_size=70,klb_coefficient=0.6",0.023956176
"Lr=0.005,latent_size=70,klb_coefficient=0.7",0.024253057
"Lr=0.005,latent_size=70,klb_coefficient=0.8",0.024013627
"Lr=0.005,latent_size=70,klb_coefficient=0.9",0.023764975
"Lr=0.005,latent_size=70,klb_coefficient=1.0",0.023954967
"Lr=0.005,latent_size=80,klb_coefficient=0.5",0.024053939
"Lr=0.005,latent_size=80,klb_coefficient=0.6",0.024115747
"Lr=0.005,latent_size=80,klb_coefficient=0.7",0.02415826
"Lr=0.005,latent_size=80,klb_coefficient=0.8",0.024074124
"Lr=0.005,latent_size=80,klb_coefficient=0.9",0.024408387
"Lr=0.005,latent_size=80,klb_coefficient=1.0",0.02426758
"Lr=0.005,latent_size=90,klb_coefficient=0.5",0.024396174
"Lr=0.005,latent_size=90,klb_coefficient=0.6",0.024378907
"Lr=0.005,latent_size=90,klb_coefficient=0.7",0.024263803
